id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
fileid_615,15.59,4.4,3.6827,0.998,14.5859,3.6827,0.998,14.5859,0.0,0.0,0.0
fileid_616,15.15,12.52,1.847,0.9887,14.3354,1.847,0.9887,14.3354,0.0,0.0,0.0
fileid_617,8.94,6.21,1.124,0.9199,2.6665,1.124,0.9199,2.6665,0.0,0.0,0.0
fileid_618,-4.74,12.55,1.0296,0.8023,-5.1425,1.0296,0.8023,-5.1425,0.0,0.0,0.0
fileid_619,5.7,7.28,1.1383,0.8836,5.2275,1.1383,0.8836,5.2275,0.0,0.0,0.0
fileid_620,13.87,7.46,1.1243,0.92,4.4668,1.1243,0.92,4.4668,0.0,0.0,0.0
fileid_621,19.13,6.15,2.7664,0.9982,18.7965,2.7664,0.9982,18.7965,0.0,0.0,0.0
fileid_622,-3.02,14.65,1.0936,0.9084,-3.5981,1.0936,0.9084,-3.5981,0.0,0.0,0.0
fileid_623,4.36,7.47,1.0939,0.8935,3.898,1.0939,0.8935,3.898,0.0,0.0,0.0
fileid_624,0.34,6.46,1.0578,0.8018,-1.1974,1.0578,0.8018,-1.1974,0.0,0.0,0.0
fileid_625,-2.91,4.7,1.0455,0.8258,-3.6648,1.0455,0.8258,-3.6648,0.0,0.0,0.0
fileid_626,-4.03,4.18,1.0349,0.8317,-5.6507,1.0349,0.8317,-5.6507,0.0,0.0,0.0
fileid_627,-4.15,6.77,1.0371,0.7864,-6.1512,1.0371,0.7864,-6.1512,0.0,0.0,0.0
fileid_628,14.86,3.87,1.2359,0.9512,7.9368,1.2359,0.9512,7.9368,0.0,0.0,0.0
fileid_629,0.84,2.57,1.0871,0.9084,-1.0552,1.0871,0.9084,-1.0552,0.0,0.0,0.0
fileid_630,19.06,2.63,1.7903,0.9856,18.6098,1.7903,0.9856,18.6098,0.0,0.0,0.0
fileid_631,1.63,4.12,1.0529,0.8336,-0.6498,1.0529,0.8336,-0.6498,0.0,0.0,0.0
fileid_632,5.91,2.6,1.2249,0.9336,2.4992,1.2249,0.9336,2.4992,0.0,0.0,0.0
fileid_633,17.98,2.58,1.1868,0.947,4.9037,1.1868,0.947,4.9037,0.0,0.0,0.0
fileid_634,2.93,3.94,1.0905,0.924,2.3008,1.0905,0.924,2.3008,0.0,0.0,0.0
fileid_635,16.03,3.75,2.6439,0.9967,15.3836,2.6439,0.9967,15.3836,0.0,0.0,0.0
fileid_636,3.56,2.51,1.0374,0.815,0.7961,1.0374,0.815,0.7961,0.0,0.0,0.0
fileid_637,14.74,2.64,1.1236,0.8841,1.1318,1.1236,0.8841,1.1318,0.0,0.0,0.0
fileid_638,13.23,3.1,1.3983,0.945,12.8705,1.3983,0.945,12.8705,0.0,0.0,0.0
fileid_639,12.95,9.481,1.174,0.8489,12.2214,1.174,0.8489,12.2214,0.0,0.0,0.0
fileid_640,-1.46,9.04,1.0522,0.6842,-3.3579,1.0522,0.6842,-3.3579,0.0,0.0,0.0
fileid_641,6.27,8.0,1.1443,0.6732,1.2443,1.1443,0.6732,1.2443,0.0,0.0,0.0
fileid_642,0.59,8.28,1.2667,0.8607,-0.4999,1.2667,0.8607,-0.4999,0.0,0.0,0.0
fileid_643,6.81,8.24,1.1286,0.7728,0.494,1.1286,0.7728,0.494,0.0,0.0,0.0
fileid_644,9.43,9.841,1.0469,0.7065,-1.7011,1.0469,0.7065,-1.7011,0.0,0.0,0.0
fileid_645,13.12,10.441,1.2208,0.8477,2.4133,1.2208,0.8477,2.4133,0.0,0.0,0.0
fileid_646,11.5,9.4,1.5455,0.8695,5.564,1.5455,0.8695,5.564,0.0,0.0,0.0
fileid_647,16.16,8.0,1.2311,0.6889,-1.0271,1.2311,0.6889,-1.0271,0.0,0.0,0.0
fileid_648,14.92,7.08,1.9093,0.8694,8.4332,1.9093,0.8694,8.4332,0.0,0.0,0.0
fileid_649,9.51,6.24,1.2725,0.7745,3.612,1.2725,0.7745,3.612,0.0,0.0,0.0
fileid_650,15.94,9.44,1.2162,0.7517,1.0977,1.2162,0.7517,1.0977,0.0,0.0,0.0
fileid_651,15.71,7.2,1.5783,0.9005,4.5647,1.5783,0.9005,4.5647,0.0,0.0,0.0
fileid_652,4.25,6.828,1.2769,0.8965,2.7033,1.2769,0.8965,2.7033,0.0,0.0,0.0
fileid_653,3.6,7.56,1.1639,0.7765,0.3146,1.1639,0.7765,0.3146,0.0,0.0,0.0
fileid_654,17.22,10.36,1.8809,0.8562,6.2368,1.8809,0.8562,6.2368,0.0,0.0,0.0
fileid_655,11.93,7.6,1.3216,0.8709,9.5915,1.3216,0.8709,9.5915,0.0,0.0,0.0
fileid_656,9.25,7.52,1.3234,0.7753,1.1888,1.3234,0.7753,1.1888,0.0,0.0,0.0
fileid_657,6.0,8.6,1.1922,0.7675,2.2591,1.1922,0.7675,2.2591,0.0,0.0,0.0
fileid_658,-2.88,7.429,1.0378,0.3512,-6.6442,1.0378,0.3512,-6.6442,0.0,0.0,0.0
fileid_659,16.26,7.88,1.7704,0.919,6.1515,1.7704,0.919,6.1515,0.0,0.0,0.0
fileid_660,14.84,8.0,1.4957,0.9002,6.0298,1.4957,0.9002,6.0298,0.0,0.0,0.0
fileid_661,0.54,8.0,1.1175,0.7139,-2.8689,1.1175,0.7139,-2.8689,0.0,0.0,0.0
fileid_662,2.47,8.0,1.1976,0.7945,-0.3722,1.1976,0.7945,-0.3722,0.0,0.0,0.0
fileid_663,15.15,6.72,1.895,0.9269,10.605,1.895,0.9269,10.605,0.0,0.0,0.0
fileid_664,9.58,8.16,1.2789,0.704,5.0978,1.2789,0.704,5.0978,0.0,0.0,0.0
fileid_665,-0.14,6.84,1.1576,0.8219,-2.2266,1.1576,0.8219,-2.2266,0.0,0.0,0.0
fileid_666,-4.52,6.319,1.0875,0.6644,-7.1833,1.0875,0.6644,-7.1833,0.0,0.0,0.0
fileid_667,19.93,6.84,1.8987,0.9065,5.8112,1.8987,0.9065,5.8112,0.0,0.0,0.0
fileid_668,5.82,7.28,1.3286,0.8232,5.4387,1.3286,0.8232,5.4387,0.0,0.0,0.0
fileid_669,14.32,6.52,1.1927,0.7016,-1.4737,1.1927,0.7016,-1.4737,0.0,0.0,0.0
fileid_670,10.08,7.88,2.3214,0.9795,8.4482,2.3214,0.9795,8.4482,0.0,0.0,0.0
fileid_671,-0.17,9.041,1.118,0.7385,-2.9683,1.118,0.7385,-2.9683,0.0,0.0,0.0
fileid_672,11.09,7.16,1.2592,0.6863,1.6337,1.2592,0.6863,1.6337,0.0,0.0,0.0
fileid_673,-1.14,7.641,1.1058,0.6164,-4.5628,1.1058,0.6164,-4.5628,0.0,0.0,0.0
fileid_674,7.1,8.68,1.1081,0.698,2.324,1.1081,0.698,2.324,0.0,0.0,0.0
fileid_675,-4.32,6.12,1.1246,0.5343,-6.2965,1.1246,0.5343,-6.2965,0.0,0.0,0.0
fileid_676,18.9,8.0,1.2488,0.8312,1.903,1.2488,0.8312,1.903,0.0,0.0,0.0
fileid_677,15.53,8.519,1.475,0.8921,3.4076,1.475,0.8921,3.4076,0.0,0.0,0.0
fileid_678,15.14,7.921,1.359,0.8529,4.926,1.359,0.8529,4.926,0.0,0.0,0.0
fileid_679,0.07,6.6,1.1335,0.7934,-4.1036,1.1335,0.7934,-4.1036,0.0,0.0,0.0
fileid_680,7.64,10.48,1.4939,0.8847,2.8337,1.4939,0.8847,2.8337,0.0,0.0,0.0
fileid_681,2.81,7.441,1.2381,0.859,0.4901,1.2381,0.859,0.4901,0.0,0.0,0.0
fileid_682,-0.6,6.961,1.0582,0.6795,-1.538,1.0582,0.6795,-1.538,0.0,0.0,0.0
fileid_683,14.43,10.44,1.5807,0.854,4.425,1.5807,0.854,4.425,0.0,0.0,0.0
