id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
146,11.99,10.0,1.7126,0.9797,11.9949,1.1158,0.9106,4.2135,-0.5968,-0.06910000000000005,-7.7814
296,9.99,10.0,1.181,0.8607,9.9866,1.1727,0.8197,5.371,-0.008299999999999974,-0.041000000000000036,-4.615599999999999
73,12.02,10.0,1.7783,0.9799,12.0247,1.2229,0.9225,5.9739,-0.5553999999999999,-0.05740000000000001,-6.050799999999999
49,2.03,10.0,1.2806,0.9109,2.0278,1.0554,0.8295,-2.496,-0.22520000000000007,-0.08140000000000003,-4.5238
241,12.01,10.0,1.5744,0.8922,12.0072,1.1751,0.8451,5.0243,-0.3993,-0.04710000000000003,-6.982899999999999
60,18.99,10.0,2.4533,0.9892,18.9944,1.2489,0.9184,5.7369,-1.2044000000000001,-0.07079999999999997,-13.257499999999999
4,5.99,10.0,1.2434,0.8451,5.9906,1.1027,0.7782,-0.533,-0.14070000000000005,-0.06689999999999996,-6.5236
245,3.02,10.0,1.568,0.9579,3.0161,1.1049,0.8739,2.6513,-0.46310000000000007,-0.08399999999999996,-0.3647999999999998
26,12.0,10.0,2.1409,0.9519,11.9998,1.1488,0.8824,6.0071,-0.9920999999999998,-0.0695,-5.9927
110,10.99,10.0,1.412,0.8692,10.99,1.1827,0.822,5.3768,-0.22929999999999984,-0.04720000000000002,-5.6132
52,7.98,10.0,1.6565,0.9344,7.9812,1.126,0.86,2.0302,-0.5305000000000002,-0.07440000000000002,-5.9510000000000005
116,6.0,10.0,1.3968,0.9103,5.9978,1.0583,0.8444,1.9943,-0.3385,-0.06589999999999996,-4.0035
45,14.99,10.0,1.6636,0.9578,14.9904,1.1549,0.8778,5.5157,-0.5086999999999999,-0.07999999999999996,-9.474699999999999
289,6.01,10.0,1.4186,0.909,6.0055,1.0723,0.8241,1.9333,-0.34630000000000005,-0.08489999999999998,-4.0722
8,7.04,10.0,1.2179,0.9223,7.0393,1.085,0.8785,2.8215,-0.13290000000000002,-0.04380000000000006,-4.2178
199,12.0,10.0,1.3774,0.9486,11.9984,1.177,0.901,5.4345,-0.2003999999999999,-0.047599999999999976,-6.5639
176,8.01,10.0,1.1816,0.7891,8.007,1.1142,0.7274,4.7853,-0.0673999999999999,-0.06169999999999998,-3.2216999999999993
282,14.0,10.0,2.0056,0.9546,13.9996,1.205,0.8956,4.5555,-0.8005999999999998,-0.05900000000000005,-9.444099999999999
180,13.0,10.0,1.53,0.955,13.0046,1.1698,0.9026,5.9046,-0.3602000000000001,-0.0524,-7.1
166,18.0,10.0,1.541,0.9534,17.996,1.142,0.8725,5.5142,-0.399,-0.08089999999999997,-12.4818
7,14.01,10.0,2.1293,0.9833,14.0074,1.2114,0.9206,4.9535,-0.9179000000000002,-0.06269999999999998,-9.0539
59,1.06,10.0,1.057,0.8069,1.0584,1.0285,0.7675,0.6622,-0.02849999999999997,-0.03939999999999999,-0.3962
288,6.0,10.0,1.4563,0.9367,6.0034,1.0969,0.8964,3.7504,-0.35939999999999994,-0.0403,-2.253
205,12.01,10.0,1.5789,0.9633,12.007,1.1811,0.8724,4.8589,-0.39779999999999993,-0.09090000000000009,-7.1480999999999995
283,5.99,10.0,1.2507,0.9052,5.9859,1.0766,0.8657,2.0383,-0.17409999999999992,-0.03949999999999998,-3.9476
136,10.01,10.0,1.4429,0.8751,10.0066,1.0707,0.8084,4.0084,-0.3722000000000001,-0.06669999999999998,-5.998200000000001
69,16.0,10.0,1.8016,0.9389,15.998,1.2623,0.8993,5.6584,-0.5393000000000001,-0.03959999999999997,-10.339599999999999
94,6.02,10.0,1.2566,0.8553,6.0172,1.0686,0.7866,2.2255,-0.18799999999999994,-0.06869999999999998,-3.7917
247,6.01,10.0,1.843,0.9858,6.0066,1.1916,0.9138,5.8105,-0.6514,-0.07200000000000006,-0.1960999999999995
232,13.99,10.0,1.7628,0.9638,13.9913,1.2723,0.8743,4.0515,-0.49049999999999994,-0.08950000000000002,-9.939800000000002
64,5.0,10.0,3.192,0.9933,4.9951,1.5942,0.9211,6.0805,-1.5978,-0.07219999999999993,1.0854
220,9.0,10.0,2.1916,0.9792,8.9965,1.1773,0.9153,4.1051,-1.0143000000000002,-0.06389999999999996,-4.891399999999999
229,3.99,10.0,1.2034,0.8729,3.9926,1.2519,0.859,6.789,0.04849999999999999,-0.013900000000000023,2.7963999999999998
181,10.0,10.0,3.337,0.9935,9.9992,1.3199,0.8757,3.7233,-2.0171,-0.11780000000000002,-6.2759
163,1.0,10.0,1.4899,0.9039,1.0024,1.1133,0.8241,0.783,-0.37660000000000005,-0.07979999999999998,-0.21939999999999993
145,17.69,10.0,2.0848,0.9696,17.6945,1.1124,0.8905,4.2969,-0.9723999999999999,-0.07910000000000006,-13.3976
17,3.05,10.0,1.0749,0.8513,3.0536,1.0525,0.8248,0.1577,-0.022399999999999975,-0.026499999999999968,-2.8958999999999997
280,8.0,10.0,1.2798,0.8918,7.9982,1.1062,0.8453,3.4348,-0.17359999999999998,-0.046499999999999986,-4.5634
249,14.0,10.0,2.2994,0.9483,13.9955,1.1708,0.8582,5.717,-1.1285999999999998,-0.09010000000000007,-8.278500000000001
223,4.03,10.0,1.0987,0.8018,4.0307,1.0533,0.7092,1.2072,-0.04540000000000011,-0.0925999999999999,-2.8235
132,12.01,10.0,1.4982,0.9124,12.0123,1.1781,0.852,5.3385,-0.32010000000000005,-0.06040000000000001,-6.6738
118,8.0,10.0,1.2412,0.8666,8.0032,1.116,0.8291,3.3819,-0.12519999999999998,-0.03750000000000009,-4.6213
271,13.99,10.0,1.94,0.9836,13.992,1.1856,0.9273,3.9875,-0.7544,-0.05630000000000002,-10.0045
113,18.99,10.0,2.4335,0.9785,18.9939,1.3147,0.9043,5.9705,-1.1188,-0.07420000000000004,-13.023399999999999
20,7.02,10.0,1.224,0.9276,7.0249,1.1013,0.883,3.2982,-0.12270000000000003,-0.04459999999999997,-3.7266999999999997
67,-0.01,10.0,1.1196,0.8135,-0.007,1.0768,0.7324,-2.2523,-0.04279999999999995,-0.08109999999999995,-2.2453
142,8.06,10.0,1.3254,0.8873,8.0649,1.1024,0.8647,3.8866,-0.22299999999999986,-0.022599999999999953,-4.1783
191,16.0,10.0,1.5994,0.9762,15.9992,1.1807,0.9162,5.5484,-0.41869999999999985,-0.05999999999999994,-10.450800000000001
291,6.0,10.0,1.4894,0.9452,5.996,1.0573,0.851,-0.8283,-0.43210000000000015,-0.09420000000000006,-6.824300000000001
277,3.96,10.0,1.0878,0.8144,3.9638,1.1146,0.7898,4.9511,0.026799999999999935,-0.024600000000000066,0.9873000000000003
33,16.0,10.0,1.6421,0.9571,15.9967,1.2358,0.908,6.5336,-0.4062999999999999,-0.04909999999999992,-9.4631
208,11.01,10.0,1.5255,0.967,11.0082,1.1163,0.8775,2.8193,-0.4092,-0.08950000000000002,-8.1889
264,7.01,10.0,1.2207,0.8759,7.0062,1.0968,0.8198,3.865,-0.1238999999999999,-0.05610000000000004,-3.1411999999999995
42,17.0,10.0,2.1749,0.959,17.001,1.1522,0.8764,4.0133,-1.0227000000000002,-0.0826,-12.9877
285,13.0,10.0,1.2737,0.9793,13.0036,1.1256,0.9021,5.373,-0.14810000000000012,-0.07719999999999994,-7.6306
255,4.07,10.0,1.2204,0.8367,4.0655,1.0802,0.7543,2.3004,-0.14019999999999988,-0.08240000000000003,-1.7651000000000003
287,15.0,10.0,1.9281,0.9584,14.9991,1.1846,0.9034,4.4345,-0.7434999999999998,-0.05500000000000005,-10.5646
165,6.0,10.0,1.7469,0.9619,6.0039,1.2181,0.8911,3.8924,-0.5287999999999999,-0.07079999999999997,-2.1115
