id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
synthetic_no_reverb_241,12.01,10.0,1.5744,0.8922,12.0072,2.89,0.9565,19.1945,1.3156,0.06430000000000002,7.187300000000002
synthetic_no_reverb_60,18.99,10.0,2.4533,0.9892,18.9944,3.5362,0.9907,19.9952,1.0829,0.0015000000000000568,1.0008000000000017
synthetic_no_reverb_4,5.99,10.0,1.2434,0.8451,5.9906,1.5271,0.8847,7.1087,0.28369999999999984,0.03960000000000008,1.1181
synthetic_no_reverb_245,3.02,10.0,1.568,0.9579,3.0161,2.159,0.958,15.524,0.5909999999999997,9.999999999998899e-05,12.5079
synthetic_no_reverb_26,12.0,10.0,2.1409,0.9519,11.9998,3.2677,0.9696,16.551,1.1268000000000002,0.01770000000000005,4.551199999999998
synthetic_no_reverb_110,10.99,10.0,1.412,0.8692,10.99,2.9856,0.9666,18.361,1.5735999999999999,0.09740000000000004,7.371
synthetic_no_reverb_52,7.98,10.0,1.6565,0.9344,7.9812,2.8988,0.9712,17.2832,1.2423,0.036799999999999944,9.302
synthetic_no_reverb_116,6.0,10.0,1.3968,0.9103,5.9978,2.3549,0.9558,17.6056,0.9581000000000002,0.045499999999999985,11.6078
synthetic_no_reverb_45,14.99,10.0,1.6636,0.9578,14.9904,2.1903,0.9635,16.7373,0.5267000000000002,0.005700000000000038,1.746900000000002
synthetic_no_reverb_289,6.01,10.0,1.4186,0.909,6.0055,1.627,0.94,10.7533,0.20839999999999992,0.030999999999999917,4.7478
synthetic_no_reverb_8,7.04,10.0,1.2179,0.9223,7.0393,2.2864,0.9659,13.4091,1.0685,0.04359999999999997,6.369800000000001
synthetic_no_reverb_199,12.0,10.0,1.3774,0.9486,11.9984,2.1785,0.9631,15.5063,0.8011000000000001,0.014499999999999957,3.5078999999999994
synthetic_no_reverb_176,8.01,10.0,1.1816,0.7891,8.007,2.6451,0.941,18.3813,1.4634999999999998,0.15189999999999992,10.3743
synthetic_no_reverb_282,14.0,10.0,2.0056,0.9546,13.9996,3.0327,0.976,17.0642,1.0271000000000003,0.021399999999999975,3.0646000000000004
synthetic_no_reverb_180,13.0,10.0,1.53,0.955,13.0046,2.9159,0.9773,20.2409,1.3859000000000001,0.022299999999999986,7.2363
synthetic_no_reverb_166,18.0,10.0,1.541,0.9534,17.996,2.1974,0.9579,17.7161,0.6564000000000001,0.0044999999999999485,-0.2798999999999978
synthetic_no_reverb_7,14.01,10.0,2.1293,0.9833,14.0074,3.6658,0.9897,21.5947,1.5364999999999998,0.006400000000000072,7.587299999999999
synthetic_no_reverb_59,1.06,10.0,1.057,0.8069,1.0584,1.3798,0.8814,8.6191,0.3228,0.07450000000000001,7.5607
synthetic_no_reverb_288,6.0,10.0,1.4563,0.9367,6.0034,2.3133,0.9594,12.8172,0.857,0.022700000000000053,6.8138
synthetic_no_reverb_205,12.01,10.0,1.5789,0.9633,12.007,3.0566,0.9739,16.5632,1.4777,0.010599999999999943,4.556199999999999
synthetic_no_reverb_283,5.99,10.0,1.2507,0.9052,5.9859,2.4136,0.9522,14.0249,1.1629000000000003,0.04700000000000004,8.039000000000001
synthetic_no_reverb_136,10.01,10.0,1.4429,0.8751,10.0066,2.533,0.9464,15.8645,1.0900999999999998,0.07130000000000003,5.857899999999999
synthetic_no_reverb_69,16.0,10.0,1.8016,0.9389,15.998,3.082,0.9701,22.5809,1.2803999999999998,0.031200000000000006,6.5829
synthetic_no_reverb_94,6.02,10.0,1.2566,0.8553,6.0172,1.7975,0.9171,10.7169,0.5409000000000002,0.06180000000000008,4.699700000000001
synthetic_no_reverb_247,6.01,10.0,1.843,0.9858,6.0066,2.7835,0.9806,17.2638,0.9405000000000001,-0.005199999999999982,11.257200000000001
synthetic_no_reverb_232,13.99,10.0,1.7628,0.9638,13.9913,3.2135,0.982,19.1195,1.4506999999999999,0.018199999999999994,5.128199999999998
synthetic_no_reverb_64,5.0,10.0,3.192,0.9933,4.9951,3.6771,0.9844,9.5777,0.48509999999999964,-0.008899999999999908,4.5826
synthetic_no_reverb_220,9.0,10.0,2.1916,0.9792,8.9965,2.8779,0.9852,15.5346,0.6862999999999997,0.006000000000000005,6.5381
synthetic_no_reverb_229,3.99,10.0,1.2034,0.8729,3.9926,1.9089,0.9341,13.264,0.7055,0.06120000000000003,9.2714
synthetic_no_reverb_181,10.0,10.0,3.337,0.9935,9.9992,3.6322,0.9933,12.1682,0.2951999999999999,-0.000200000000000089,2.1690000000000005
synthetic_no_reverb_163,1.0,10.0,1.4899,0.9039,1.0024,2.0721,0.9437,18.6109,0.5821999999999998,0.03979999999999995,17.6085
synthetic_no_reverb_145,17.69,10.0,2.0848,0.9696,17.6945,2.3299,0.9252,15.6481,0.24509999999999987,-0.044399999999999995,-2.046400000000002
synthetic_no_reverb_17,3.05,10.0,1.0749,0.8513,3.0536,1.6351,0.919,11.3595,0.5602,0.0677000000000001,8.305900000000001
synthetic_no_reverb_280,8.0,10.0,1.2798,0.8918,7.9982,2.1351,0.9514,11.519,0.8553,0.059599999999999986,3.5208000000000004
synthetic_no_reverb_249,14.0,10.0,2.2994,0.9483,13.9955,2.9097,0.9719,17.5736,0.6103000000000001,0.023599999999999954,3.578099999999999
synthetic_no_reverb_223,4.03,10.0,1.0987,0.8018,4.0307,1.7456,0.8786,12.2721,0.6469,0.07680000000000009,8.241399999999999
synthetic_no_reverb_132,12.01,10.0,1.4982,0.9124,12.0123,2.4038,0.9519,17.0101,0.9056,0.03949999999999998,4.997800000000002
synthetic_no_reverb_118,8.0,10.0,1.2412,0.8666,8.0032,2.0372,0.9285,12.5813,0.7959999999999998,0.061899999999999955,4.578100000000001
synthetic_no_reverb_271,13.99,10.0,1.94,0.9836,13.992,2.8466,0.9865,17.0173,0.9066000000000001,0.0029000000000000137,3.025299999999998
synthetic_no_reverb_113,18.99,10.0,2.4335,0.9785,18.9939,3.691,0.9904,23.447,1.2574999999999998,0.01189999999999991,4.453099999999999
synthetic_no_reverb_20,7.02,10.0,1.224,0.9276,7.0249,2.1175,0.9599,14.1662,0.8935000000000002,0.032299999999999995,7.1413
synthetic_no_reverb_67,-0.01,10.0,1.1196,0.8135,-0.007,1.3887,0.8398,6.952,0.2691000000000001,0.02629999999999999,6.959
synthetic_no_reverb_142,8.06,10.0,1.3254,0.8873,8.0649,1.9911,0.9352,12.9484,0.6657000000000002,0.047900000000000054,4.8835
synthetic_no_reverb_191,16.0,10.0,1.5994,0.9762,15.9992,3.4728,0.9897,22.4373,1.8734,0.013500000000000068,6.4381
synthetic_no_reverb_291,6.0,10.0,1.4894,0.9452,5.996,2.6816,0.9605,17.6166,1.1922,0.01529999999999998,11.620599999999998
synthetic_no_reverb_277,3.96,10.0,1.0878,0.8144,3.9638,1.6902,0.8703,12.5209,0.6023999999999998,0.05589999999999995,8.557099999999998
synthetic_no_reverb_33,16.0,10.0,1.6421,0.9571,15.9967,3.3018,0.9896,22.2053,1.6597000000000002,0.032500000000000084,6.208600000000001
synthetic_no_reverb_208,11.01,10.0,1.5255,0.967,11.0082,2.8371,0.9757,19.0791,1.3115999999999999,0.008700000000000041,8.0709
synthetic_no_reverb_264,7.01,10.0,1.2207,0.8759,7.0062,1.8043,0.9377,12.5419,0.5836000000000001,0.061799999999999966,5.5357
synthetic_no_reverb_42,17.0,10.0,2.1749,0.959,17.001,2.6489,0.937,13.9429,0.47399999999999975,-0.02199999999999991,-3.0581000000000014
synthetic_no_reverb_285,13.0,10.0,1.2737,0.9793,13.0036,2.6767,0.9824,18.7557,1.4029999999999998,0.0031000000000001027,5.7521
synthetic_no_reverb_255,4.07,10.0,1.2204,0.8367,4.0655,1.5076,0.8867,10.7696,0.2872000000000001,0.050000000000000044,6.7041
synthetic_no_reverb_287,15.0,10.0,1.9281,0.9584,14.9991,2.9513,0.9776,16.9917,1.0231999999999999,0.019199999999999995,1.9926000000000013
synthetic_no_reverb_165,6.0,10.0,1.7469,0.9619,6.0039,2.991,0.9793,15.6169,1.2441000000000002,0.01739999999999997,9.613
synthetic_no_reverb_167,11.0,10.0,1.5746,0.885,11.003,2.9133,0.9605,15.9407,1.3387,0.07550000000000001,4.9376999999999995
synthetic_no_reverb_169,5.98,10.0,1.1369,0.8288,5.9837,2.2864,0.9285,12.2403,1.1495,0.09970000000000001,6.2566
synthetic_no_reverb_38,11.99,10.0,1.791,0.956,11.9926,2.8351,0.987,17.1076,1.0441000000000003,0.031000000000000028,5.115000000000002
synthetic_no_reverb_19,4.99,10.0,1.5963,0.9287,4.9907,2.1637,0.9466,11.9801,0.5673999999999999,0.017900000000000027,6.9894
synthetic_no_reverb_102,2.0,10.0,1.238,0.8961,2.0033,2.0071,0.9323,9.2814,0.7690999999999999,0.03620000000000001,7.2781
synthetic_no_reverb_76,4.97,10.0,1.253,0.8677,4.9745,1.8353,0.9119,15.6746,0.5823,0.04420000000000002,10.700099999999999
synthetic_no_reverb_261,5.99,10.0,1.2723,0.8923,5.9916,2.422,0.9556,16.1693,1.1497000000000002,0.06330000000000002,10.1777
synthetic_no_reverb_214,5.0,10.0,1.7475,0.9772,4.9954,2.5995,0.9706,18.3927,0.8519999999999999,-0.006599999999999939,13.397300000000001
synthetic_no_reverb_134,21.48,10.0,2.1005,0.944,21.4821,2.68,0.9329,19.8155,0.5795000000000003,-0.011099999999999999,-1.666599999999999
synthetic_no_reverb_77,7.99,10.0,1.4632,0.903,7.9884,2.2036,0.9339,16.1376,0.7403999999999997,0.030899999999999928,8.149199999999999
synthetic_no_reverb_300,1.94,10.0,1.122,0.8475,1.9391,1.4053,0.8868,8.9926,0.2832999999999999,0.0393,7.0535
synthetic_no_reverb_14,8.02,10.0,1.2954,0.9424,8.0221,2.6314,0.965,16.8142,1.336,0.022599999999999953,8.7921
synthetic_no_reverb_34,7.97,10.0,1.2828,0.9332,7.9702,2.4543,0.9669,15.0497,1.1715,0.03369999999999995,7.0794999999999995
